Ceramic Tiles and Cladding Panels,qudt:Kilogram,12,,,,0.74,0.78,,,Difficult to select -  large range -  limited data. ,292
Clay (Simple Baked Products),qudt:Kilogram,3,4.12,0.02,32.4,0.23,0.24,,,General simple baked clay products (inc. terracotta and bricks),
Clay Tile,qudt:Kilogram,6.5,,,,0.45,0.48,,,,
Vitrified clay pipe DN 100 & DN 150,qudt:Kilogram,6.2,,,,0.44,0.46,,,,
Vitrified clay pipe DN 200 & DN 300,qudt:Kilogram,7,,,,0.48,0.5,,,,
Vitrified clay pipe DN 500,qudt:Kilogram,7.9,,,,0.52,0.55,,,,
Concrete,qudt:Kilogram,0.75,8.61,0.07,92.5,0.1,0.107,,,It is strongly recommended to avoid selecting a `general` value for concrete. Selecting data for a specific concrete type (often a ready mix concrete) will give greater accuracy -  please see material profile. Assumed cement content 12% by mass.,
Concrete 16/20 Mpa,qudt:Kilogram,0.7,,,,0.093,0.1,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 20/25 MPa,qudt:Kilogram,0.74,,,,0.1,0.107,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 25/30 MPa,qudt:Kilogram,0.78,,,,0.106,0.113,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 28/35 MPa,qudt:Kilogram,0.82,,,,0.112,0.12,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 32/40 MPa,qudt:Kilogram,0.88,,,,0.123,0.132,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 40/50 MPa,qudt:Kilogram,1,,,,0.141,0.151,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Cement - GEN 0 (6/8 MPa) (0% Fly Ash),qudt:Kilogram,0.55,,,,0.071,0.076,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 0 (6/8 MPa) (15% Fly Ash),qudt:Kilogram,0.52,,,,0.065,0.069,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 0 (6/8 MPa) (30% Fly Ash),qudt:Kilogram,0.47,,,,0.057,0.061,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
Cement - GEN 1 (8/10 MPa) (0% Fly Ash),qudt:Kilogram,0.7,,,,0.097,0.104,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 1 (8/10 MPa) (15% Fly Ash),qudt:Kilogram,0.65,,,,0.088,0.094,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 1 (8/10 MPa) (30% Fly Ash),qudt:Kilogram,0.59,,,,0.077,0.082,,,Possible uses: mass concrete -  mass fill -  mass foundations -  trench foundations -  blinding -  strip footing.,
Cement - GEN 2 (12/15 MPa) (0% Fly Ash),qudt:Kilogram,0.76,,,,0.106,0.114,,,,
Cement - GEN 2 (12/15 MPa) (15% Fly Ash),qudt:Kilogram,0.71,,,,0.098,0.105,,,,
Cement - GEN 2 (12/15 MPa) (30% Fly Ash),qudt:Kilogram,0.64,,,,0.087,0.093,,,,
Cement - GEN 3 (16/20 MPa) (0% Fly Ash),qudt:Kilogram,0.81,,,,0.115,0.123,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (15% Fly Ash),qudt:Kilogram,0.75,,,,0.105,0.112,,,Possible uses: garage floors.,
Cement - GEN 3 (16/20 MPa) (30% Fly Ash),qudt:Kilogram,0.68,,,,0.093,0.1,,,Possible uses: garage floors.,
Cement - RC 20/25 (20/25 MPa) (0% Fly Ash),qudt:Kilogram,0.86,,,,0.124,0.132,,,,
Cement - RC 20/25 (20/25 MPa) (15% Fly Ash),qudt:Kilogram,0.81,,,,0.114,0.122,,,,
Cement - RC 20/25 (20/25 MPa) (30% Fly Ash),qudt:Kilogram,0.73,,,,0.101,0.108,,,,
Cement - RC 25/30 (25/30 MPa) (0% Fly Ash),qudt:Kilogram,0.91,,,,0.131,0.14,,,Possible uses: reinforced foundations.,
Cement - RC 25/30 (25/30 MPa) (15% Fly Ash),qudt:Kilogram,0.85,,,,0.121,0.13,,,Possible uses: reinforced foundations.,
